item_number,item_text,correct,prompt
135,"What can you say about the areas of the two squares?
The figure shows a grid. Above theres a blue square of side length three. Below it a square rhombus, with diagonals of size 4
A. The blue square has a larger area
B. The red square has a larger area
C. The areas are the same
D. It is impossible to say without measuring",1,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 

The question is about: Maths, Algebra, Algebraic Fractions, Adding and Subtracting Algebraic Fractions
Did the student get the question right? No
What was the student's confidence for this question? 75 

About the student's learning session so far:
This student has worked on 6 problems so far.
The student's average confidence so far is 79.
The student has answered 50% questions correctly so far.

About the student:
Student age: 12
Student gender: Male
Student IQ: -0.477
Student Extraversion: -0.485
Student Agreeableness: -0.191
Student Conscientiousness: -0.439
Student Neuroticism: -0.072
Student Openness: 0.878

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 7
Frustration: 6
Boredom: 9
Curiosity/Interest: 8

Engagement: 0"
146,"Jo and Paul are talking about constructing triangles.
Jo says you need 2 side lengths in order to construct a triangle.
Paul says you need a protractor to construct a triangle.
Who is correct?
A. Only Jo
B. Only Paul
C. Both Jo and Paul
D. Neither is correct",4,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Geometry and Measure, Angles, Bearings
Did the student get the question right? No
What was the student's confidence for this question? 50 

About the student's learning session so far:
This student has worked on 4 problems so far.
The student's average confidence so far is 81.
The student has answered 75% questions correctly so far.

About the student:
Student age: 12
Student gender: Female
Student IQ: 0.625
Student Extraversion: 0.771
Student Agreeableness: -0.514
Student Conscientiousness: 0.339
Student Neuroticism: 1.052
Student Openness: 0.958

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 7
Frustration: 6
Boredom: 0
Curiosity/Interest: 8

Engagement: 5"
169,"Which of the following numbers could replace the shapes?
The item shows a venn diagram. The larger circle is labelled multiples of {triangel}. The smaller circle inside is a subset, labelled multiples of {square}
A. triangle = 8, square = 12
B. triangle = 12 , square = 8
C. triangle = 8, square = 4
D. triangle = 4, square = 8",4,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Data and Statistics, Pictogram, Data Representation
Did the student get the question right? No
What was the student's confidence for this question? 0 

About the student's learning session so far:
This student has worked on 7 problems so far.
The student's average confidence so far is 50.
The student has answered 86% questions correctly so far.

About the student:
Student age: 12
Student gender: Female
Student IQ: -0.346
Student Extraversion: 0.202
Student Agreeableness: -1.627
Student Conscientiousness: 0.246
Student Neuroticism: -0.002
Student Openness: 0.037

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 7
Frustration: 10
Boredom: 4
Curiosity/Interest: 10

Engagement: 5"
187,"7 × 12 = 32 + 52
4X7X12= {star}
What should replace the star to preserve equality?
A. 4(32 + 52)
B. 32 + 52 x 4
C. 4 x 32 + 52
D. 32 + 52 + 4",1,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Number, Fractions, Fractions of an Amount
Did the student get the question right? No
What was the student's confidence for this question? NA 

About the student's learning session so far:
This student has worked on 5 problems so far.
The student's average confidence so far is NA.
The student has answered 80% questions correctly so far.

About the student:
Student age: 12
Student gender: Male
Student IQ: -0.828
Student Extraversion: -0.56
Student Agreeableness: 0.162
Student Conscientiousness: 0.229
Student Neuroticism: 1.219
Student Openness: 0.255

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 9
Frustration: 10
Boredom: 8
Curiosity/Interest: 0

Engagement: 5"
219,"Which of the following symbols should go in the box so that the number sentence is correct?
(3)^2 + (-16) [blank] (-5)^2
A. >
B. = 
C. <
D. ≤",3,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Number, Upper and Lower Bounds, Rounding and Estimating
Did the student get the question right? Yes
What was the student's confidence for this question? 75 

About the student's learning session so far:
This student has worked on 8 problems so far.
The student's average confidence so far is NA.
The student has answered 100% questions correctly so far.

About the student:
Student age: 12
Student gender: Female
Student IQ: 0.31
Student Extraversion: 1.944
Student Agreeableness: 1.333
Student Conscientiousness: 1.603
Student Neuroticism: 0.122
Student Openness: -1.197

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 6
Frustration: 9
Boredom: 2
Curiosity/Interest: 6

Engagement: 0"
235,"Points P, Q and Rare equally spaced along the line segment.
The coordinates of P and R
are marked on the diagram.
P = (-3,6), R = (1,-2). Q lies in the top left quadrant.
What are the coordinates of Q?
A. (-1,3)
B. (-2,4)
C. (-1,2)
D. (-2,2)",3,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Number, Basic Arithmetic, Mental Multiplication and Division
Did the student get the question right? No
What was the student's confidence for this question? 100 

About the student's learning session so far:
This student has worked on 10 problems so far.
The student's average confidence so far is 88.
The student has answered 70% questions correctly so far.

About the student:
Student age: 12
Student gender: Male
Student IQ: 0.158
Student Extraversion: 1.353
Student Agreeableness: -0.355
Student Conscientiousness: -1.471
Student Neuroticism: 0.092
Student Openness: 0.966

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 1
Frustration: 6
Boredom: 4
Curiosity/Interest: 7

Engagement: 10"
278,"Jo and Paul are trying to write calculations based on the diagram on the left.
The diagram shows a number line labelled at -3 and 12, and there is a red arrow pointing from 12 to -3, labelled -15
Jo writes: 12 - 15 = -3
Paul writes: (-3) + 15 = 12
Who is correct?
A. Only Jo
B. Only Paul
C. Both Jo and Paul
D. Neither is correct",3,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Algebra, Straight Line Graphs, Parallel Lines
Did the student get the question right? Yes
What was the student's confidence for this question? 50 

About the student's learning session so far:
This student has worked on 1 problems so far.
The student's average confidence so far is 50.
The student has answered 100% questions correctly so far.

About the student:
Student age: 12
Student gender: Male
Student IQ: 1.559
Student Extraversion: -0.691
Student Agreeableness: 1.266
Student Conscientiousness: -0.39
Student Neuroticism: -1.964
Student Openness: -1.53

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 10
Frustration: 9
Boredom: 6
Curiosity/Interest: 5

Engagement: 3"
284,"Jack is thinking of a number.
It is a prime number and it is a multiple of 7.
What is Jack's number?
A. 17
B. 7
C. 49
D. 1",2,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Algebra, Inequalities, Graphing Linear Inequalities (Shading Regions)
Did the student get the question right? Yes
What was the student's confidence for this question? 50 

About the student's learning session so far:
This student has worked on 8 problems so far.
The student's average confidence so far is 72.
The student has answered 100% questions correctly so far.

About the student:
Student age: 12
Student gender: Male
Student IQ: 0.565
Student Extraversion: -0.594
Student Agreeableness: -0.631
Student Conscientiousness: 0.643
Student Neuroticism: 0.981
Student Openness: -0.309

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 5
Frustration: 6
Boredom: 4
Curiosity/Interest: 1

Engagement: 4"
289,"In the Indian number svstem
8 00 00 000 =
A. eighty crores
B. eight crores
C. eighty lakhs
D. eight lakhs",2,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Geometry and Measure, Volume and Surface Area, Surface Area of Prisms
Did the student get the question right? Yes
What was the student's confidence for this question? 50 

About the student's learning session so far:
This student has worked on 9 problems so far.
The student's average confidence so far is NA.
The student has answered 56% questions correctly so far.

About the student:
Student age: 12
Student gender: Female
Student IQ: -0.988
Student Extraversion: -1.137
Student Agreeableness: -0.927
Student Conscientiousness: -0.204
Student Neuroticism: -0.701
Student Openness: -0.615

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 3
Frustration: 8
Boredom: 1
Curiosity/Interest: 1

Engagement: 1"
298,"Which protractor is positioned correctly to most easily measure the obtuse angle below shown in red)?
A and B show protractors. A has a red line at 0/180 on the left, and 110/70 on the right. B has a red line at 70/110 on the left and 180/0 on the right.
A. A
B. B
C. Both
D. Neither",3,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Geometry and Measure, Length Scale Factors in Similar Shapes, Similarity and Congruency
Did the student get the question right? Yes
What was the student's confidence for this question? 75 

About the student's learning session so far:
This student has worked on 5 problems so far.
The student's average confidence so far is 80.
The student has answered 80% questions correctly so far.

About the student:
Student age: 11
Student gender: Male
Student IQ: 0.411
Student Extraversion: -0.223
Student Agreeableness: -2.931
Student Conscientiousness: -0.085
Student Neuroticism: -1.339
Student Openness: 1.115

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 1
Frustration: 7
Boredom: 0
Curiosity/Interest: 8

Engagement: 5"
314,"What number and sign belogn in the box?
-5 [blank] = -9
A. -4
B. +4
C. -14
D. +14",1,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Number, Indices, Powers and Roots, Squares, Cubes, etc
Did the student get the question right? Yes
What was the student's confidence for this question? 100 

About the student's learning session so far:
This student has worked on 3 problems so far.
The student's average confidence so far is NA.
The student has answered 100% questions correctly so far.

About the student:
Student age: 11
Student gender: Male
Student IQ: -1.24
Student Extraversion: -0.955
Student Agreeableness: 0.815
Student Conscientiousness: 0.369
Student Neuroticism: -0.308
Student Openness: -0.787

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 5
Frustration: 0
Boredom: 0
Curiosity/Interest: 0

Engagement: 2"
342,"""Square numbers have an odd number of factors""
Is this statement...
A. always true
B. sometimes true
C. never true
D. Impossible to say",1,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Geometry and Measure, Perimeter, Perimeter and Area
Did the student get the question right? Yes
What was the student's confidence for this question? 50 

About the student's learning session so far:
This student has worked on 6 problems so far.
The student's average confidence so far is 88.
The student has answered 100% questions correctly so far.

About the student:
Student age: 11
Student gender: Female
Student IQ: -1.638
Student Extraversion: 0.556
Student Agreeableness: -1.189
Student Conscientiousness: -0.009
Student Neuroticism: 0.248
Student Openness: 1.021

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 8
Frustration: 6
Boredom: 10
Curiosity/Interest: 10

Engagement: 0"
346,"1065 x 8 = 
A. 800 + 0 + 480 + 40
B. 8000 + 0 + 480 + 40
C. 800 + 480 + 30
D. 1000 +60 + 5",2,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Geometry and Measure, Basic Trigonometry, Non Right-angled Triangles (Sine and Cosine Rules)
Did the student get the question right? No
What was the student's confidence for this question? 75 

About the student's learning session so far:
This student has worked on 5 problems so far.
The student's average confidence so far is 60.
The student has answered 60% questions correctly so far.

About the student:
Student age: 12
Student gender: Female
Student IQ: 0.82
Student Extraversion: -0.746
Student Agreeableness: 1.074
Student Conscientiousness: -0.759
Student Neuroticism: -0.761
Student Openness: 0.463

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 3
Frustration: 6
Boredom: 5
Curiosity/Interest: 0

Engagement: 5"
423,"(-4) x (-3) + (-4) x (-7) = (-4) x ( (blank1) + (blank2)) = (blank3)
What belongs in the boxes?
A. 3, 7, -40
B. 3, 7, 40
C. -3, -7, -40
D. -3, -7, 40",4,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Geometry and Measure, 3D Shapes, Names and Properties of 3D Shapes
Did the student get the question right? Yes
What was the student's confidence for this question? 100 

About the student's learning session so far:
This student has worked on 17 problems so far.
The student's average confidence so far is 88.
The student has answered 71% questions correctly so far.

About the student:
Student age: 12
Student gender: Female
Student IQ: 0.559
Student Extraversion: -1.953
Student Agreeableness: 0.383
Student Conscientiousness: 0.92
Student Neuroticism: 0.17
Student Openness: -0.575

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 3
Frustration: 1
Boredom: 4
Curiosity/Interest: 9

Engagement: 9"
